name,country,status,n_stations,station_type,n_capacity_nan,n_capacity_zero,capacity_median,capacity_unique_values,A1_n_stations,A1_share_pct,A3_n_stations,A3_share_pct,A4_n_stations,A4_share_pct,A2_flagged,A5_flagged,A6_flagged,A7_flagged,url,elapsed_s,a7_share,eligible,filter_reason,tier,tier1_archive_url
Careem BIKE,AE,ok,225.0,docked_bike,0.0,6.0,15.0,30.0,0.0,0.0,0.0,0.0,24.0,10.67,False,True,True,False,https://careem.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,0.7,0.0,True,A2_placeholder_capacity;,T2,
Bike Nordelta,AR,ok,21.0,docked_bike,0.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://nordelta.publicbikesystem.net/customer/gbfs/v3.0/gbfs.json,1.5,0.0,True,,T2,
MiBiciTuBici,AR,ok,99.0,docked_bike,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,3.0,3.03,False,False,True,False,https://www.mibicitubici.gob.ar/opendata/gbfs.json,0.8,0.0,True,,T2,
city bike Linz,AT,ok,50.0,docked_bike,1.0,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_al/gbfs.json,0.5,0.02,True,,T2,
nextbike Klagenfurt Austria,AT,ok,50.0,docked_bike,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,6.0,12.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_ka/gbfs.json,0.4,0.0,True,,T2,
Stadtrad Innsbruck Austria,AT,ok,55.0,docked_bike,0.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,3.0,5.45,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_si/gbfs.json,0.4,0.0,True,,T2,
VVT REGIORAD Tirol,AT,ok,21.0,docked_bike,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.nextbike.net/maps/gbfs/v2/nextbike_vt/gbfs.json,0.3,0.0,True,,T2,
Blue-bike,BE,ok,276.0,docked_bike,0.0,2.0,8.0,44.0,0.0,0.0,0.0,0.0,17.0,6.16,False,False,False,False,https://api.delijn.be/gbfs/gbfs.json,0.3,0.0,True,,T2,
Li Bia Velo,BE,ok,27.0,docked_bike,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://api.cyclocity.fr/contracts/namur/gbfs/v3/gbfs.json,0.3,0.0,True,,T2,
Velo Antwerpen,BE,ok,321.0,docked_bike,0.0,0.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,https://gbfs.smartbike.com/antwerp/1.0/gbfs.json,0.4,0.0,True,,T2,
Villo,BE,ok,349.0,docked_bike,0.0,1.0,25.0,31.0,0.0,0.0,0.0,0.0,1.0,0.29,False,False,False,False,https://api.cyclocity.fr/contracts/bruxelles/gbfs/v3/gbfs.json,0.5,0.0,True,,T2,
